Month (month),State Name (state_name),State Code (state_code),Port for Import (port),Import Country (country),Principle Commodity Code (pc_code),Commodity Name (commodity),Quantity Unit Measurement (units),Value of commodity quantity (quantity),Value of commodity quantity in USD (dollars_value),Value of commodity quantity in INR (inr_value)
01-08-18,Gujarat,24,Mundra,Sri Lanka Dsr,I5,Cosmetics And Toiletries,None,0,61814,4298921
01-05-22,Maharashtra,27,"Arshiya Intl. Ftwz-Sez, Raigad",Singapore,I7,Residul Chemicl And Alled Prod,None,0,71868,5556791
01-01-24,West Bengal,19,Kolkata Air,Italy,K4,Optical Items (Incl.Lens Etc),None,0,377299,31361517
01-11-22,Maharashtra,27,Nhava Sheva Sea,Canada,J6,Glass And Glassware,None,0,140242,11473265
01-04-21,Karnataka,29,Icd Bangalore,Japan,L6,Copper And Prdcts Made Of Copr,None,0,653701,48682569
01-11-19,Rajasthan,8,Icd Thar Dry Port,Thailand,I5,Cosmetics And Toiletries,None,0,32949,2354251
01-01-24,Haryana,6,Icd Garhiharsaru,China P Rp,P4,Telecom Instruments,None,0,823653,68462884
01-01-22,Tamil Nadu,33,Icd Irungattukottai,France,K6,Moulded And Extruded Goods,None,0,514,38278
01-08-22,Maharashtra,27,Nhava Sheva Sea,Malaysia,N8,"Nucler Reactr, Indl Boilr, Prt",None,0,59591,4740739
01-04-20,Karnataka,29,Icd Bangalore,Singapore,P3,Electronics Instruments,None,0,224073,17082533
01-04-20,Rajasthan,8,Icd Kanakpura,Guinea,ZZ,Other Commodities,None,0,26770,2040836
01-11-23,Karnataka,29,Icd Bangalore,Netherland,N6,Indl. Machnry For Dairy Etc,None,0,886237,73821739
01-07-24,Maharashtra,27,Dpcc Mumbai,Singapore,G5,"Pearl, Precs, Semiprecs Stones",None,0,289300,24183973
01-08-22,Maharashtra,27,"Arshiya Intl. Ftwz-Sez, Raigad",Singapore,N5,Ic Engines And Parts,None,0,42107,3349810
